comment_sen,score
经常在这买东西，目前还没有失望过，棒棒哒！一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！一直在这购买，质量有保证，总之非常好，五星好评！现在东西基本都在这买，已经成为习惯了，又快又方便，服务还好，价格很实惠,2
为什么我买了三天降价50块钱，这个钱给我反吗？,0
"流畅度：流畅的像风一样自由。
画面效果：它美的像花儿一样艳丽。
外形外观：它红蓝双色经典永流传。
运行速度：它运行起来那风驰电掣的感觉。
稳定性：它稳如泰山，(((&phi;(◎ロ◎;)&phi;)))
产品包装：它精美绝伦馈赠佳品，老婆大人夸我好！
来了！它来了！！国行主机配上健身环大冒险，香！真香！真香啊！！！",2
"心心念想要买个主机，在任家和那两家之间犹豫了一下，决定买任家，毕竟赶上国行刚刚发售，也算趁热。买来之后试玩了一下，觉得自己的选择没错，任天堂游戏的可玩性是真的高，可以跟朋友一起玩儿，已经很久没因为玩游戏而哈哈大笑了。
再说画面，真的是当做主机买的，因为是高龄上班族，在家玩游戏的时间比较多。在电视上的画面真的是比掌机好太多。
再说游戏。目前国行只有一个游戏，马U，很好玩儿的但确实是太少了。决定以后出游戏慢的话就每月入一张卡带吧，联网需求不高的优先。等等党一定会胜利，嘿嘿。",2
"产品包装：产品包装就很可了，红色大盒子，礼物包装即视感。
运行速度：运行速度非常流畅、稳定，画质清晰。
画面效果：不得不说，游戏界面的画质实在太好了。
外形外观：红蓝手柄的配置，真的是美呆了，配色非常喜欢。
流畅度：游戏运行非常流畅！
稳定性：稳定感十足，非重度游戏患者，游戏足够用了！",2
客观的来说，第一次入手任天堂NS，算是小白了，不懂国行/日版/港版这些机器的差异，网上简单搜了下，国行机器保修方便，觉得蛮好就入手了一台。入手之后确实方便，机器很新，外观很好，还有马里奥试玩版。好了，后面我要说重点了&hellip;&hellip;&hellip;&hellip;后面就是没有然后了，然后&ldquo;国行&rdquo;机器商店里就一个马里奥，是的没看错，就一个游戏，拜托这是商店&hellip;&hellip;然后没了。我还买了200G-SD卡，想想都好笑，现在同款机器还在促销降价200块&hellip;&hellip;如果有朋友再买NS，我一定不会选择国行了。惊天大坑&hellip;&hellip;,1
感觉被骗了！只有一个游戏，还不能退货！买东西以后一定要看差评！,0
就是一个坑，最好别买,0
才买了6天  就出了优惠套装  纯粹恶心人来了  差评,0
没游戏，没游戏，没游戏，不要买，不要买，不要买,0
这款游戏机一直期待了很久，终于等到活动的时候果断入手了，性价比很高。质感和手感都是非常的棒，上班在地铁上可以很方便娱乐一下，在家休息连接电视上玩更是刺激，总之是值得入手的一款游戏机。,2
我也是纠结了好久，才决定买国航switch游戏机，同时选择买了豪华版卡丁车，昨天晚上7点，京东物流送货到家，以为回很麻烦，结果一试，安装相当简单。先试试手，就一使用版画面都这么流畅，运行速度也快，画面生动，一下就把玩家带入其中，只可以目前国航还没出健身环大冒险和打球射击类游戏。,2
心心念的NS 终于入手了，非常满意。支持单人和多人 同时游戏。这次京东活动力度非常大，还支持24期免息。  非常赞！红蓝机非常喜欢，跟家里人一起开心的游戏，每个人都笑的像个孩子。,2
只有三款游戏？看差评我还不信，买了我后悔了，怎么能玩别的游戏？,0
一个月了，就一个踩蘑菇&hellip;&hellip;真把支持你们的国行玩家当傻子呗？游戏没办法过审我们能理解，后门不给开那真的是你们的问题了&hellip;&hellip;没有dlc游戏体验差得一匹！,0
还好，没有游戏卡，已经躺了一个多月了。,1
没游戏,1
除了能玩国行马里奥，其他卡带都不能保证能读的出，朋友们注意这个，不保证哦，那等于你两千多只能玩一个马里奥哦！要退货那是不能的，要换货七天内也不行的，只能让你寄回去维修，你修吗？！七天不到的机器你想修？！奉劝各位真的别买，买了生气！欺客！国行不保证其他区的卡带能玩，就凭这点，你买这个干嘛？！,0
不太建议购买国行，目前只有一个游戏。19年12月说的数周推出多款游戏，到现在2月27号还是只要一款，有欺骗消费者的嫌疑。另外其他版本的卡带很多功能玩不了。,0
腾讯国行版，不能联网，不能关联海外账号，商场只有一个游戏，不能更新，不能买dlc，只能单机，慎重考虑呀大兄弟们,0
看了很多网上的说法，选择了国行版。到手感觉喜滋滋。一年保修还是很符合自己的购物需求，毕竟对电子产品不大懂，心里踏实点。送货也很快，只是下决心买的时候，内存卡套餐已售罄，略遗憾。,2
商店只有一个游戏，开封联机才知道，纯小白，也不能退货，就一个砖块，建议不要入手目前。,0
"流畅度：不错，超流畅的，就一个游戏不流畅那是不可能的
运行速度：快快快，难受wifi不是太好，在卧室里玩就两格信号，充电时再看就一格信号了，不知道是不是都这样
稳定性：最新系统，体验版测试了下还可以，游戏过审真心墨迹，看来有必要先买个卡带玩着了
画面效果：画质清晰，不错不错，完美
外形外观：第一次玩略感稍大，有必要再入lite吗？
产品包装：就一层袋子，还很好包装就凹进一点儿角，里面完美，总之，国航套装版感觉还是挺香的，单机本地联机偶尔玩玩挺好，bilibili看了不少大神评测，感觉不是游戏党不在乎外服联机的，完全可以入手国航，本人也是和朋友偶尔一起玩玩，又入了pro手柄，唉，12期真香，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈哈，凑字数别在意哈",2
"产品包装：京东物流非常迅速，隔日就到货了。外包装厚实到货完美，八角尖尖，点个赞。
画面效果：开机后，画面细致，设置完后直接玩了游戏，运行十分顺畅，没有卡顿出现。
外形外观：买的国行是蓝红款，算是挺传统的配色。按键触感反馈感觉很好很舒服。买的套装，包质地很好，200G的卡也很超值。体验很不错哇。
之前玩过外服的机器，没什么限制挺好的。自己算是个轻度玩家吧，对网络互动要求很低，国行的机器硬件都是一致的，游戏本身不受限制，想玩其他游戏的话就去买卡玩就好，很方便，都可以玩，更何况还有那些N合一的移动卡。国行保修很方便，这点省了不少事情。而且随着时间推移国行的游戏会更丰富，更符合标准，至少不会出现捡树枝的红线之举。游戏机嘛，能玩，开心就好～",2
泡面压砖不错,0
switch很棒，无论是独立玩还是连到显示器玩。,2
垃圾国行，千万别买，2000多三个游戏你敢信？而且超过天不能退货，只是看了一眼，摸了一下而已，真就金子做的呗？,0
"国行烈士在此。。。
实在是看不到一点点希望了。",0
只有一个游戏，不能DLS，买来只能单机玩，不支持7天无理由退货，差评。,0
"流畅度：很好
运行速度：很好
画面效果：很好
外形外观：很好
产品包装：有破损
东西整体不错，对于我这种极端休闲玩家，完全能够满足，赶上活动买了2199的套装也确实划算，希望后续游戏能多搞点活动吧，多出一些休闲类的游戏，我们这种中年人已经肝不动竞技类了，哈哈",2
"外形外观：很喜欢的样式，红蓝很漂亮
产品包装：很完整，很简洁
流畅度：待试玩再来评价
运行速度：待试玩再来评价",2
作为提前预定多日的用户，感到很气愤。预定时说10号零点付尾款，但9号晚上开始，没预定的用户反而可以直接下单购买并开始物流流程。预付定金用户不仅不能退款，反而要多等几小时，导致不少预付定金的用户，套餐商品缺货。不知道这种低级错误为什么会发生，在向客服咨询时也只能得到一些官方的套路答复。如果这就是你们Nintendo和~在京东开店的经营水平，建议趁早下架，毕竟机器现在也只有一款游戏能玩，作为一款上市已经近三年的掌机，上市后居然只有一款游戏可以下载，不知买到手的玩家作何感想。我对我的言论负责，目前外卡缺失一切任天@上联网功能，包括DLC下载，且无后外卡续优化通告，造成目前全锁服半锁区，整款游戏机仅有一款完整版游戏能玩。,1
国行只能支持卡带不支持领金币和其他操作，还是买港版或日版比较划算，希望大家引以为戒,0
"流畅度：国航就是好，下载速度飞快再也不会突然卡住了，还有腾讯加持保修一年；
运行速度：任天堂出品必属精品，大型游戏轻松运行，玩游戏特别爽；
稳定性：平稳运行游戏，玩游戏一整天也没有崩溃；
画面效果：显示效果细腻，动作特效流畅，给我不一样的视觉冲击力；
外形外观：游戏机不仅可以手持玩还可以在客厅连电视游戏，贴上新买的贴纸感觉酷炫无比。",2
心心念念的switch终于入手了，非常喜欢。买之前在日版，港版和国行之间犹豫很久，最后还是决定买国行的。事实证明，如果和我一样非重度玩家，不喜欢线上对战和买DLC，只喜欢玩卡带的，非常合适买国行，支持所有版本的卡带，手柄一分为二，两人一起玩，更加有趣。,2
"画面效果：画质好，清晰
产品包装：包装整齐，运输无损坏
运行速度：掌机对于80后更多的还是情怀，今年趁着生日，给老公买个NS 当礼物，更多的时间还是花在家庭和工作上！收到就开始玩了，总之机器很正！客服很棒！送货很快！以后国行版出好游戏依旧会买！",2
就一个游戏，3个多月就一个游戏。奥德赛，马赛，塞尔达一个都没有！你卖什么游戏机，你这跟咋片有什么区别！,0
心心念念的Switch终于到手啦！拿到机后超兴奋，急忙开机试机，屏幕够大，边框也够宽哈哈。预装了一个超级马里奥兄弟U试玩版，不错，很流畅，也很快容易上手。不敢说自己是任天堂的老玩家，之前任天堂家族的主机也只玩过Wii，现在玩最新的Switch主机，还是能感受到任天堂游戏塑造的轻松游戏氛围，玩起来也不累。我几乎不玩网游，但整日坐在电脑前玩Steam游戏，还是怪累的，这下就好了，在床上躺着玩都不是问题啦！最后还是感谢京东这次的24期免息，也圆了我买Switch的梦想！,2
垃圾，没有几款游戏,0
"流畅度：很好
运行速度：非常快
稳定性：用用再说
画面效果：非常棒，很细腻
外形外观：很nice
产品包装：很好，很安全
产品很惊艳，做工很好很棒！刚拿手上测试了下，操作很方便，造型独特，大小合适，还可以连接电视、爱不释手啊！希望后期游戏卡能有优惠！后期体验后再发表评论吧！
给儿子买的，儿子很喜欢?和儿子一起玩，非常棒?",2
买来可以当传家宝，因为你玩不了几天就只能吃灰了！,1
"流畅度：很流畅，玩儿游戏很爽，手柄振动反馈很赞，这样打击感碰撞感会很真实很立体。
运行速度：毕竟是专门玩游戏的机器，速度很快，卡带更新数据也很快。
画面效果：画质分辨率好像是ns饱受诟病的地方，对于我来说还可以接受，就是屏幕反光这一点不太爽，光线强一点的地方就有点看不清画面。
外形外观：喜欢这个外形，科技感和萌感都有，红色和蓝色是很好的颜色。
产品包装：合家欢亲切感的包装盒，不是电子产品那种颗粒感十足的高冷的包装，就像是超市玩具货架上的那类盒子。
最后，塞尔达真的好玩。",2
"流畅度：运行流畅，试玩马里奥很好，没有延迟卡顿。
运行速度：运行速度很快，下载游戏速度也很快 。
稳定性：很稳。
画面效果：画面细腻，链接电视也可以用1080P。
外形外观：方便携带
可以使用其他地区卡带，配件也全部通用，不能登陆外服。 希望快点出健身环大冒险。",2
换货后正常，做工品质有待提升，第一台游戏机，感觉一般般,1
"真坑die，收到货才发现，国行商店什么游戏都没有，没有游戏可以玩，问客服都不允许退货了，商品详情里面也没说不能链接国外的服务器，也没说只有一款游戏可以玩，建议大家不要买国行，现在想处理掉都没人要，买了个砖头回来，气死人。。。。。。。。。。
流畅度：垃圾
运行速度：垃圾
稳定性：垃圾
画面效果：垃圾
外形外观：垃圾
产品包装：垃圾",0
"首先商家以不拆封作为七天无理由退货的前提条件就是霸王条款，商家为了控制退货率竟然出现只有国行才有的封条。其次京东作为平台竟然可以让商家有这种操作，同是天猫并没有这样的条款，完全没有站在客户角度考虑。
最后作为很多对产品不了解的客户由于对产品实际情况的不知情导致买错的情况，作为商家个平台应该支持不影响二次销售的情况下去给客户退货的权利，这也是无理由退货的初衷吧。
游戏机本身并不做评价，希望腾讯能做的比说得好吧。",0
"流畅度：自己玩起来非常流畅, 但是投屏到电视上面就会出现非常明显的延迟, 所以大屏和0延迟其实是两个互斥的选项
运行速度：机器跑游戏当然没有问题, 也不会出现卡顿
稳定性：很稳定, 玩了一个多月了目前没有出现问题
画面效果：画面效果很好, 缺点就是没有游戏! 我买的是一个正版游戏机! 不是一个马里奥兄弟机! 再没有游戏恐怕就只能差评了!
外形外观：标准的高级的外观
产品包装：包装很用心, 送货很快, 很方便",2
买了不到20天 有杂音   有问题 可以修 但是这售后让人恶心    关键买了不到20天   还有 希望你们的客服尽快电话联系我,0
流畅度：目前运行还是不错的，插了张256g的卡。可惜的是在线商城目前就只有一个游戏，希望多上架更多的游戏。直接扫码购买很方便，避免无用的包装之类，数字化很方便。红色的壳子蛮漂亮。新机现在适应中，期待更多游戏。,2
真香，收到之后很惊喜，质量很好，游戏目前只有一个，期待快点更新，想玩宝可梦剑盾，塞尔达等等，超级玛丽也很好玩，入手的第一个主机，算是完成了儿时的遗憾，希望这个机器可以陪伴我度过艰难的时光真香，收到之后很惊喜，质量很好，游戏目前只有一个，期待快点更新，想玩宝可梦剑盾，塞尔达等等，超级玛丽也很好玩，入手的第一个主机，算是完成了儿时的遗憾，希望这个机器可以陪伴我度过艰难的时光,2
质量很好，手感不错，续航能力得到有效提升，关键是整机，配件1年质保，值得信赖,2
东西非常好，主要的是配送的速度真的很快，上午下单，下午就到了，真的是让人很开心的一件事，每天都玩，找回咯小时候的感觉，不过要买游戏卡又是一种投入，不过只要玩的开心就好了,2
"流畅度：流畅呀
外形外观：真的很酷
画面效果：画面清晰，简约，我喜欢深色主题
产品包装：观赏性强
打开包装，非常惊喜，switch国行来了，相比之前更接地气了，哈哈！第一次买，相信国服游戏上架很快，毕竟是合家欢，容易过审的，力挺(? &bull;?_&bull;?)?",2
"产品包装：包装挺精美的，也都挺齐全的
运行速度：运行速度比较快，还挺不错的，操作起来带劲
流畅度：玩游戏的时候游戏玩得还挺流畅的，不卡顿，会让人玩得很爽
稳定性：稳定性很好，还挺符合自己的期望值的
画面效果：画面效果清晰，看着比较舒服
总体来说，确实比较满意！",2
物品没有损坏痕迹及划痕，整体个人感觉是正品。使用起来，比较顺手，简单易懂，画面质感和音效及动感很不错！！,2
"刚刚拆开快递就来评价了
画面效果：很不错 特别是连着jc的感觉
外形外观：没问题 红蓝很漂亮
产品包装：京东物流nb 
希望国内游戏快点上线 希望越来越好
再来一句 jd快递真厉害",2
才买几天就以优惠券形式掉价，还没保价！厉害,0
发货很快，机器很赞！最终选择国行，虽然现在只有三个游戏，但是相信在腾讯的运营下会越来越好，等游戏多了，国行网络稳定的优势就出来了,2
送给儿子的礼物 毕竟任天堂的游戏还是非常适合小朋友玩的 家庭组队也非常不错 希望有更多更好的游戏可以尽快上市,2
南丹都switch的这个游戏机已经想买很长时间了，嗯，但是一直都犹豫买哪个版本，国行出来之后果断的决定要买国行的它虽然说是锁服不锁区，但是我相信给中国玩家的游戏会追月多的，虽然说现在只有马里奥这么一个游戏，嗯，整个机器的包装都跟国外的一样，嗯，希望能出更多的游戏，唔好中国的玩家将中国的玩家得到切身的利益。最后谢谢京东物流在运行期间能这么快的，嗯，发货非常不容易。,2
3月9号了，商店还是只有一个游戏，国行勇士变烈士,0
机器很好，国行很垃圾，一个月了都不出游戏,1
搞活动买的，价格很合适！包装很好，没有任何破损。家里小孩子拿着就开始瞎按。很有兴趣。但是家长一定要控制！运行速度可以，不卡。画面效果很棒！也很流畅！虽然是国航的，但是一切都好！家里人都很喜欢的。适合全家玩。,2
非常时期呆在家里，缓解无聊，京东送货很快，第二天就到了，自带一个马里奥试玩版，又买了游戏卡，在家宅也没那么无聊了。,2
我之前没做功课，买了国行，发现just dance啥的连不了网。okay 我的问题，但是客服态度真的让人受不了，回答问题全是复制黏贴，要是不知道以为一个纯机器人 要是真人的话辞掉得了 不如换个机器人,0
"游戏机到货特别快，一收到货就迫不及待的打开体验了。整体感觉很流畅，而且一机可以三用，在外面没有电视和PC也可以随时随地玩游戏,而且手柄还可以一分为二，再买一对手柄，就可以和小伙伴们一起开开心心玩游戏了! ! !",2
没有游戏可以玩，无法联机，没有任何说明只有一款游戏，等待厂商发售的意思就是告诉你想玩吗，等着吧，等着被我宰把三年五载也是它（狗头保命）,0
其他都还可以，但是没用几天左边就松了,1
说实话，国行出来还是挺高兴的，毕竟支持一下，御三家早就买全了，旧版switch也玩了很久了，但等这么久商店就只有一个游戏，说实话很失望，本来以为腾讯会上很多自己的游戏，结果啥也没有，希望腾讯多上点心，把国服生态做好点,0
"别买国行！
别买国行！
别买国行！
如果非要买，建议务必上网搞清楚版本区别。
因为在这买了，一旦开封就不能退货了，只能自己拿到二手平台贱卖掉。
请新人务必去网上了解一下，这是不是你想要的再下单！！！！！！",0
我应该是脑子进了大海才买了国行，发布两个月了只有一款游戏？！我是买游戏送游戏机吗？！,1
一个游戏机没游戏玩，还想要好评，回家要屁吃去,0
放在购物车里好几天，终于下单了，送货很快，就是外包装差点以为不是自己的快递。内部有防震袋，东西很完美。收到以后迫不及待的开机了，机器也没有问题，手柄也很舒服。这次买的是国行腾讯版，内部自带超级玛丽的体验版，这可是童年最有趣的游戏了呀，休闲娱乐可以买。,2
"流畅度：很好，按键摇干控制都很好，无延迟卡顿。毕竟价格在这里。
运行速度：非常快，开关机等待时间几乎忽略。连电视也很快。
稳定性：新机很稳定，暂时未出现任何不稳定情况。
画面效果：完全够用。不过还没完其他游戏。以后再追评。
外形外观：精致，简约。第一次用感觉手柄有点小小小小小。
产品包装：还行吧，京东送货挺好，速度快，无任何磕碰。",2
都挺好,0
运行速度：机子很不错 质保也很好 但是看看商城简直凄惨还有等多久,1
"流畅度：非常流畅，丝毫没有卡顿，体验真的非常棒！最最重要的就是连接电视也不卡顿，非常清晰，很震撼！
运行速度：非常快，体验很好，很快哦！
稳定性：目前发现很稳定(用了两天)，目前这个天气不发热
画面效果：显示效果很棒，很清晰，特别是电视上显示。
外形外观：很好用，而且joycon的震动效果很棒！
不好的就是游戏很少，真的很少，大作都没法玩。",2
快递不怎么样，这种电子产品居然外面就一个快递袋，万一被压坏了呢,1
"支持国行 当天到货 试玩感觉很好
流畅度：好
运行速度：好
稳定性：好
画面效果：好
外形外观：好
产品包装：好",2
说实话，有点帅！我应该算是小白玩家，我也觉得中国大部分人都对掌机游戏接触比较少，switch为我们打开了一扇门，体验到游戏的不同乐趣，互动。也支持国行，可以更方便我们使用，虽然现在只有一个游戏，过几天加了两个，但随着疫情结束，我相信好玩的游戏会越来越多。那画质流畅度那肯定不用说，很多很细节的地方也做得很好，期待期待，中国加油！,2
买了这个套装套装，足够用一阵儿了，小朋友很喜欢，但是屏幕还是有点小，如果接到电视上玩的更过瘾，里边的人物非常生动，而且每一关关卡设计的不错，便携式的手柄用起来也非常好，希望能孩子多玩一阵儿吧，家里还有PSP，这两个游戏在一起让人们度过这一段难熬的时光,2
国行现在其实还不太适合上线，极度差评，好评都是花钱刷上来的，不要买，国行只能玩儿1个破游戏，也没任何地方提示，打开了就不能换,0
"产品包装：包装齐全
流畅度：非常流畅
运行速度：和平常玩手机没两样，没有延迟
稳定性：很好！
画面效果：画面艳丽，显示清晰
外形外观：非常漂亮！",2
"流畅度：流畅度极佳，玩起来很痛快，畅快无比
运行速度：运行速度快，无卡顿
稳定性：系统稳定，保障体验
画面效果：画面清晰，很有代入感
外形外观：外观设计深得我心，红蓝边增加美感，连不玩游戏的媳妇儿都觉得漂亮
产品包装：包装完好无损坏，感谢京东物流和京东快递小哥的辛苦付出",2
买了就降价，很不愉快的一次购物,0
我一开始觉得评论里一星的会不会太苛刻了，买了之后算是知道了，不是别人苛刻，是这么大个店子店大欺客，恶心的不行，真是长见识了，昨天半夜开始秒杀我就赶紧下单了，今天还是那个活动，比昨天半夜多了12期免息多了赠品，收到太高兴就拆了，现在退都不给退，花钱买教训。做人不要太恶心啊，客服差的要死，什么事都不想解决，只顾推卸责任，这叫哪门子售后？谁会知道你同一个活动昨天晚上10点开始一直持续的活动，昨晚11点多跟今天还不一样，先买的比后买的还不划算，那你做个毛秒杀？！别做啊，把现买的当傻子吗？这么大的店这么恶心头一次见，祝店倒闭，祝形同虚设的客服倒大霉,0
这不科学，刚买就优惠了，还送200G卡，这什么情况？,0
"流畅度：很棒，手柄连接灵敏。
画面效果：很出彩，老少咸宜的游戏画质
终于等来国行主机，首发当天就拿下了，用行动支持国行主机，发行商后续也要用高品质游戏回报支持国行版的国内玩家，不要再次出现光卖硬件设备的发行商，那样的话不会有玩家入手国行版，也不会再相信国行主机。
PS：希望后续出彩作品跟上，与世界玩家同步。
网上商店优化好，经常出现连接问题。
记得晒单5**京豆哦！",2
国行烈士。。。，锁区锁服，就一个游戏，无法联网。买了个板砖一样,0
老公超级喜欢，每天抱着玩，特地在他生日之前下的单，又买了塞尔达和马里奥奥德赛，奥德赛我俩已经通关了哈哈，机器很流畅，以后出去旅游也可以带着了，买的套装有套子和膜，200g的内存卡也是很大了，非常划算！,2
"流畅度：速度挺快，东西三码合一是正品。
产品包装：6.18当天别的平台都到了1599，就你卖1849，价格太贵。",0
"流畅度：游戏都很流畅
画面效果：在显示器上比在主板上更好
外形外观：switch设计的很好看
产品包装：快递有些破，磨开了一个口子，箱子也有凹痕，这点不满意",2
"好，非常好，推荐买游戏机同时买塞尔达传说！
流畅度：★★★★★
运行速度：★★★★★
稳定性：★★★★★
画面效果：★★★★★
外形外观：★★★★★
产品包装：★★★★★",2
可以当掌机也可以连接电视玩，非常方便，画面也很清晰，震动反馈很真实，体验中,2
真的不建议买，这都多长时间了还是一个游戏，买个舞力全开，塞尔达国服玩着感觉游戏的一半乐趣都没了，你不出游戏，好赖让登录个别的服务器啊！谁买谁后悔！,0
